LGA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA30250,0,0,0,0,0,0,0,0,0,3,5,0,13,13,3,14,28,78,0,105
LGA30300,0,3,0,0,0,3,3,0,3,49,32,4,86,5,4,11,97,57,0,159
LGA30370,0,3,0,0,0,3,8,5,11,132,93,7,227,15,7,20,252,131,5,385
LGA30410,0,3,0,0,0,3,0,0,4,31,17,3,54,0,0,3,53,29,0,88
LGA30450,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,3,0,6
LGA30760,0,0,0,0,0,0,0,4,4,15,12,0,27,0,0,0,27,19,4,53
LGA30900,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,5,9,0,20
LGA31000,51,188,13,14,27,214,202,170,584,14717,8540,1000,24249,1085,928,2005,26256,13905,354,40520
LGA31750,0,0,0,0,0,0,0,0,0,4,0,3,8,0,0,0,8,4,0,11
LGA31820,6,18,8,3,9,25,55,33,116,890,886,85,1860,262,170,432,2287,2023,55,4366
LGA31900,3,5,0,0,0,5,9,5,24,143,142,15,302,22,20,43,346,252,12,613
LGA31950,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,4
LGA32080,16,54,7,0,6,59,93,48,204,2409,1810,202,4414,340,271,602,5022,2709,91,7820
LGA32250,0,0,0,0,0,0,5,3,10,30,10,5,45,3,3,3,50,54,8,106
LGA32260,0,4,0,0,0,8,25,10,41,274,235,35,548,54,39,92,642,515,14,1176
LGA32270,0,3,0,0,0,6,3,3,17,270,146,23,439,38,29,66,503,221,5,729
LGA32310,3,3,0,0,0,3,6,8,22,124,110,21,256,30,13,44,308,202,12,519
LGA32330,0,0,0,0,0,0,0,0,3,11,7,0,17,13,6,24,39,94,4,131
LGA32450,0,0,0,0,0,0,0,3,7,23,9,8,39,5,0,3,44,41,3,90
LGA32500,0,0,0,0,0,0,0,0,4,39,36,3,82,8,3,9,92,68,0,160
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3
LGA32770,0,0,0,0,0,0,0,3,3,8,13,0,17,3,0,8,29,61,3,86
LGA32810,0,3,0,0,0,3,7,3,13,121,115,16,248,7,9,16,267,158,10,434
LGA33100,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,7,0,18
LGA33200,0,0,0,0,0,0,0,0,0,11,16,0,24,0,0,0,29,18,0,46
LGA33220,8,25,7,3,11,32,44,35,114,873,983,107,1958,262,172,433,2395,2373,54,4826
LGA33360,3,13,5,4,7,19,16,20,56,603,450,55,1100,192,97,290,1388,824,34,2250
LGA33430,51,154,6,3,11,161,160,102,429,7656,6342,665,14662,696,795,1494,16156,8657,215,25027
LGA33610,0,3,0,3,3,8,9,3,19,118,80,5,207,8,7,18,221,140,7,366
LGA33620,0,7,0,3,3,8,29,15,57,414,491,47,944,102,90,195,1143,1184,37,2363
LGA33800,0,3,0,0,3,8,4,0,9,80,68,11,153,16,15,30,186,183,7,369
LGA33830,0,0,0,0,0,0,0,0,0,7,9,0,15,8,3,13,33,20,0,57
LGA33960,15,49,15,0,18,67,78,53,199,3111,1910,259,5278,518,339,856,6138,4224,110,10474
LGA33980,5,9,0,0,0,9,0,11,17,199,86,20,313,22,11,35,344,134,11,492
LGA34420,0,0,0,0,0,0,0,0,0,11,6,0,19,9,3,10,29,51,0,78
LGA34530,5,11,0,0,3,11,13,10,39,362,329,42,730,69,46,119,847,440,18,1303
LGA34570,0,0,0,0,0,0,7,0,6,3,7,0,15,0,0,7,22,28,0,48
LGA34580,9,10,3,0,3,17,23,16,51,359,322,48,722,77,48,126,850,725,23,1595
LGA34590,24,91,13,7,22,112,129,104,337,4532,3028,399,7958,706,542,1253,9210,6472,184,15861
LGA34710,0,0,0,0,0,0,0,3,6,44,32,7,76,3,4,10,85,38,3,121
LGA34770,11,42,5,0,3,46,51,18,117,1334,965,117,2414,265,205,470,2882,1644,45,4573
LGA34800,0,0,0,0,0,0,0,0,0,10,3,0,11,0,0,0,11,3,0,18
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,19,0,20
LGA34860,0,0,0,0,0,0,4,3,7,128,84,10,228,14,3,15,245,142,3,390
LGA34880,0,8,0,0,0,8,5,10,22,212,172,22,403,34,29,57,463,418,14,893
LGA35010,37,115,14,9,25,140,152,89,380,5950,4440,569,10968,741,671,1416,12385,7538,169,20089
LGA35250,0,0,0,0,0,0,3,5,12,19,5,0,26,7,0,8,36,39,9,93
LGA35300,0,7,0,0,0,7,14,14,26,298,97,22,417,37,24,62,479,292,17,789
LGA35600,0,0,0,0,0,0,5,5,12,41,23,9,76,3,3,5,81,81,4,164
LGA35670,0,0,0,0,0,0,0,0,0,11,5,0,15,3,0,5,16,52,0,64
LGA35740,0,9,0,0,0,9,14,11,38,564,702,42,1310,62,69,131,1443,806,23,2267
LGA35760,0,0,0,0,0,0,7,8,16,68,78,13,158,14,0,22,172,143,4,327
LGA35780,0,0,0,0,0,0,0,0,0,53,32,3,83,16,3,24,105,100,0,204
LGA35790,0,0,0,0,0,0,0,0,0,24,20,4,51,6,14,21,68,128,0,200
LGA35800,0,0,0,0,0,0,3,0,7,23,10,0,43,0,4,4,48,40,0,88
LGA36070,0,0,0,0,0,0,0,0,0,4,8,0,11,0,0,3,11,42,0,55
LGA36150,0,0,0,0,0,0,0,0,0,12,4,3,17,0,0,0,18,8,0,29
LGA36250,10,36,3,3,7,41,43,23,107,2231,1501,148,3878,165,159,326,4201,2052,58,6310
LGA36300,0,0,0,0,0,0,0,0,0,17,3,3,19,0,0,3,26,12,0,33
LGA36370,4,14,3,6,6,26,35,23,79,1054,816,102,1968,216,156,373,2343,1651,38,4032
LGA36510,0,13,3,0,3,10,14,5,29,383,392,34,811,50,40,95,905,689,21,1614
LGA36580,3,5,0,0,0,5,8,6,24,205,190,33,425,46,37,84,512,540,13,1069
LGA36630,4,10,0,3,4,8,23,12,42,271,295,31,596,53,43,102,698,704,30,1436
LGA36660,6,14,0,0,0,16,17,14,44,295,346,51,688,54,53,107,800,660,21,1486
LGA36720,20,86,3,3,5,90,92,45,230,3412,3652,347,7404,340,394,735,8135,4213,92,12447
LGA36820,0,10,0,0,0,8,14,7,38,237,235,22,497,55,44,95,592,485,17,1092
LGA36910,3,29,0,3,7,32,52,24,108,1852,1503,157,3511,245,202,447,3958,2580,58,6589
LGA36950,0,6,0,0,0,6,6,3,16,50,27,9,86,8,3,9,97,70,9,175
LGA36960,0,3,0,0,0,3,7,0,12,58,61,8,121,14,8,17,136,206,8,356
LGA37010,10,40,6,3,14,50,64,38,160,2795,1689,221,4708,448,300,750,5459,3085,66,8609
LGA37300,0,0,0,0,0,0,0,0,3,56,10,7,73,0,0,3,73,9,3,79
LGA37310,0,11,0,0,0,11,18,7,36,307,224,29,555,44,41,87,644,581,19,1243
LGA37340,3,12,0,0,0,7,3,4,18,322,303,36,658,68,21,89,747,377,14,1142
LGA37400,0,0,0,0,0,0,3,0,3,13,10,0,19,3,0,3,26,9,0,33
LGA37550,0,0,0,0,0,0,0,0,4,19,8,3,25,8,8,13,41,69,4,110
LGA37570,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,6,25,0,27
LGA37600,0,3,0,0,0,4,0,0,4,37,21,7,62,38,3,42,99,143,7,254
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
